Sample	Unclassified	Other
TS047_RoL_RNA_16_TS047_RoL_RNA_16_kraken2_custom_k2.bracken	392529.0	9880833.0
TS047_RoL_RNA_177_TS047_RoL_RNA_177_kraken2_custom_k2.bracken	427324.0	11186304.0
TS047_RoL_RNA_20_TS047_RoL_RNA_20_kraken2_custom_k2.bracken	460645.0	12604174.0
TS047_RoL_RNA_291_TS047_RoL_RNA_291_kraken2_custom_k2.bracken	573082.0	11263428.0
TS047_RoL_RNA_328_TS047_RoL_RNA_328_kraken2_custom_k2.bracken	821418.0	13366104.0
TS047_RoL_RNA_355_TS047_RoL_RNA_355_kraken2_custom_k2.bracken	1481679.0	7060304.0
TS047_RoL_RNA_46_TS047_RoL_RNA_46_kraken2_custom_k2.bracken	166331.0	15182217.0
TS047_RoL_RNA_477_TS047_RoL_RNA_477_kraken2_custom_k2.bracken	556036.0	12753331.0
TS047_RoL_RNA_498_TS047_RoL_RNA_498_kraken2_custom_k2.bracken	777264.0	12280502.0
TS047_RoL_RNA_526_TS047_RoL_RNA_526_kraken2_custom_k2.bracken	461835.0	19421896.0
TS047_RoL_RNA_532_TS047_RoL_RNA_532_kraken2_custom_k2.bracken	450929.0	12227183.0
TS047_RoL_RNA_655_TS047_RoL_RNA_655_kraken2_custom_k2.bracken	411602.0	14664101.0
TS047_RoL_RNA_708_TS047_RoL_RNA_708_kraken2_custom_k2.bracken	692427.0	15798185.0
TS047_RoL_RNA_710_TS047_RoL_RNA_710_kraken2_custom_k2.bracken	574480.0	11597542.0
